Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Indice_Riesgo,Categoria_Riesgo,Delta_Parcial_Final,Promedio_Continuo,Eficiencia_Estudio
S1000,Omar,Williams,student0@university.com,Female,22,Engineering,52.29,55.03,57.82,84.22,74.06,3.99,85.9,56.09,F,6.2,No,Yes,High School,Medium,5,4.7,50.98,Medio,2.79,71.02,9.05
S1001,Maria,Brown,student1@university.com,Male,18,Engineering,97.27,97.23,45.8,74.81,94.24,8.32,55.65,50.64,A,19.0,No,Yes,Unknown,Medium,4,9.0,13.95,Bajo,-51.43,76.97,2.67
S1002,Ahmed,Jones,student2@university.com,Male,24,Business,57.19,67.05,93.68,67.7,85.7,5.05,73.79,70.3,D,20.7,No,Yes,Master'S,Low,6,6.2,40.63,Medio,26.63,69.42,3.4
S1003,Omar,Williams,student3@university.com,Female,24,Mathematics,95.15,47.79,80.63,66.06,93.51,6.54,92.12,61.63,A,24.8,Yes,Yes,High School,High,3,6.7,24.4,Bajo,32.84,79.27,2.49
S1004,John,Smith,student4@university.com,Female,23,Cs,54.18,46.59,78.89,96.85,83.7,5.97,68.42,66.13,F,15.4,Yes,Yes,High School,High,2,7.1,41.58,Medio,32.3,77.17,4.29
S1005,Liam,Brown,student5@university.com,Male,21,Engineering,75.725,78.85,43.53,71.4,52.2,6.38,67.29,62.08,B,8.5,Yes,Yes,Phd,High,1,5.0,25.59,Bajo,-35.32,63.67,7.3
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,57.6,66.26,89.07,84.52,98.4,2.3,93.65,83.21,F,21.3,No,Yes,Unknown,Low,5,6.4,38.2,Medio,22.81,74.89,3.91
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,51.91,45.67,73.96,80.12,95.9,3.73,93.24,81.93,F,27.3,Yes,No,Unknown,Medium,4,4.3,41.15,Medio,28.29,76.64,3.0
S1008,Omar,Smith,student8@university.com,Female,21,Cs,85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,A,8.0,No,No,Bachelor'S,Low,9,8.8,38.36,Medio,6.45,53.12,11.95
S1009,Sara,Smith,student9@university.com,Female,22,Engineering,64.01,87.96,98.47,96.98,55.63,5.88,78.6,84.99,A,9.6,No,Yes,Unknown,Medium,10,6.4,46.41,Medio,10.51,72.5,8.85
